Id,LtsVersion,CurrentVersion
Microsoft.AspNetCore.Mvc.Formatters.Xml,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Localization,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Razor,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.Razor.Host,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.TagHelpers,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.ViewFeatures,1.0.2,1.1.0
Microsoft.AspNetCore.Mvc.WebApiCompatShim,1.0.2,1.1.0
Microsoft.AspNetCore.Owin,1.0.1,1.1.0
Microsoft.AspNetCore.Proxy,0.2.0,0.2.0
Microsoft.AspNetCore.Razor,1.0.1,1.1.0
Microsoft.AspNetCore.Razor.Runtime,1.0.1,1.1.0
Microsoft.AspNetCore.ResponseCaching,1.0.0,1.1.0
Microsoft.AspNetCore.ResponseCaching.Abstractions,1.0.0,1.1.0
Microsoft.AspNetCore.ResponseCompression,1.0.0,1.0.0
Microsoft.AspNetCore.Rewrite,1.0.0,1.0.0
Microsoft.AspNetCore.Routing,1.0.2,1.1.0
Microsoft.AspNetCore.Routing.Abstractions,1.0.2,1.1.0
Microsoft.AspNetCore.Server.IISIntegration,1.0.1,1.1.0
Microsoft.AspNetCore.Server.Kestrel,1.0.2,1.1.0
Microsoft.AspNetCore.Server.Kestrel.Https,1.0.2,1.1.0
Microsoft.AspNetCore.Session,1.0.1,1.1.0
Microsoft.AspNetCore.StaticFiles,1.0.1,1.1.0
Microsoft.AspNetCore.TestHost,1.0.1,1.1.0
Microsoft.AspNetCore.WebSockets,1.0.0,1.0.0
Microsoft.AspNetCore.WebUtilities,1.0.1,1.1.0
Microsoft.Data.Sqlite,1.0.1,1.1.0
Microsoft.EntityFrameworkCore,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Design,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.InMemory,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Relational,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Relational.Design,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Relational.Design.Specification.Tests,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Relational.Specification.Tests,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Specification.Tests,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Sqlite,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.Sqlite.Design,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.SqlServer,1.0.2,1.1.0
Microsoft.EntityFrameworkCore.SqlServer.Design,1.0.2,1.1.0
Microsoft.Extensions.Caching.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.Caching.Memory,1.0.1,1.1.0
Microsoft.Extensions.Caching.Redis,1.0.1,1.1.0
Microsoft.Extensions.Caching.SqlServer,1.0.1,1.1.0
Microsoft.Extensions.CommandLineUtils,1.0.1,1.1.0
Microsoft.Extensions.Configuration,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.Configuration.AzureKeyVault,1.0.0,1.0.0
Microsoft.Extensions.Configuration.Binder,1.0.1,1.1.0
Microsoft.Extensions.Configuration.CommandLine,1.0.1,1.1.0
Microsoft.Extensions.Configuration.EnvironmentVariables,1.0.1,1.1.0
Microsoft.Extensions.Configuration.FileExtensions,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Ini,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Json,1.0.1,1.1.0
Microsoft.Extensions.Configuration.UserSecrets,1.0.1,1.1.0
Microsoft.Extensions.Configuration.Xml,1.0.1,1.1.0
Microsoft.Extensions.DependencyInjection,1.0.1,1.1.0
Microsoft.Extensions.DependencyInjection.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.DependencyInjection.Specification.Tests,1.0.1,1.1.0
Microsoft.Extensions.DiagnosticAdapter,1.0.1,1.1.0
Microsoft.Extensions.FileProviders.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.FileProviders.Composite,1.0.1,1.1.0
Microsoft.Extensions.FileProviders.Embedded,1.0.1,1.1.0
Microsoft.Extensions.FileProviders.Physical,1.0.1,1.1.0
Microsoft.Extensions.FileSystemGlobbing,1.0.1,1.1.0
Microsoft.Extensions.Globalization.CultureInfoCache,1.0.1,1.1.0
Microsoft.Extensions.Localization,1.0.1,1.1.0
Microsoft.Extensions.Localization.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.Logging,1.0.1,1.1.0
Microsoft.Extensions.Logging.Abstractions,1.0.1,1.1.0
Microsoft.Extensions.Logging.AzureAppServices,1.0.0,1.0.0
Microsoft.Extensions.Logging.Console,1.0.1,1.1.0
Microsoft.Extensions.Logging.Debug,1.0.1,1.1.0
Microsoft.Extensions.Logging.EventLog,1.0.1,1.1.0
Microsoft.Extensions.Logging.EventSource,1.1.0,1.1.0
Microsoft.Extensions.Logging.Filter,1.0.1,1.1.0
Microsoft.Extensions.Logging.TraceSource,1.0.1,1.1.0
Microsoft.Extensions.ObjectPool,1.0.1,1.1.0
Microsoft.Extensions.Options,1.0.1,1.1.0
Microsoft.Extensions.Options.ConfigurationExtensions,1.0.1,1.1.0
Microsoft.Extensions.PlatformAbstractions,1.0.0,1.1.0
Microsoft.Extensions.Primitives,1.0.1,1.1.0
Microsoft.Extensions.WebEncoders,1.0.1,1.1.0
Microsoft.Net.Http.Headers,1.0.1,1.1.0
Microsoft.Owin.Security.Interop,1.0.1,1.1.0
Microsoft.VisualStudio.Web.BrowserLink,1.0.0,1.0.0
Microsoft.VisualStudio.Web.BrowserLink.Loader,14.0.1,14.1.0
